,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
56,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,48.0,64.0,80.0,105.4,130.8,156.2,181.6,207.0,275.0,343.0,411.0,479.0,547.0,561.0,575.0,589.0,603.0,617.0,630.2,643.4,656.6,669.8,683.0,Australia,2134.0
57,Netherlands,23079.0,23197.6,23316.2,23434.8,23553.4,23672.0,23846.4,24020.8,24195.2,24369.6,24544.0,24853.2,25162.4,25471.6,25780.8,26090.0,26029.2,25968.4,25907.6,25846.8,25786.0,26212.8,26639.6,27066.4,27493.2,27920.0,28251.4,28582.8,28914.2,29245.6,29577.0,Australia,180668.0
58,New Zealand,27682.0,29846.2,32010.4,34174.6,36338.8,38503.0,39738.0,40973.0,42208.0,43443.0,44678.0,49999.6,55321.2,60642.8,65964.4,71286.0,73299.6,75313.2,77326.8,79340.4,81354.0,84389.4,87424.8,90460.2,93495.6,96531.0,99644.4,102757.8,105871.2,108984.6,112098.0,Australia,472132.0
59,Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,47.6,95.2,142.8,190.4,238.0,255.0,272.0,289.0,306.0,323.0,348.8,374.6,400.4,426.2,452.0,470.6,489.2,507.8,526.4,545.0,564.6,584.2,603.8,623.4,643.0,Australia,2201.0
60,Norway,932.0,928.0,924.0,920.0,916.0,912.0,902.8,893.6,884.4,875.2,866.0,882.4,898.8,915.2,931.6,948.0,990.6,1033.2,1075.8,1118.4,1161.0,1193.6,1226.2,1258.8,1291.4,1324.0,1355.2,1386.4,1417.6,1448.8,1480.0,Australia,7623.0
61,Occupied Palestinian Territory,0.0,0.0,0.0,0.0,0.0,0.0,4.6,9.2,13.799999999999999,18.4,23.0,176.2,329.4,482.59999999999997,635.8,789.0,794.8,800.6,806.4,812.2,818.0,833.8,849.6,865.4,881.2,897.0,910.4,923.8,937.2,950.6,964.0,Australia,3491.0
62,Pakistan,490.0,554.2,618.4,682.6,746.8,811.0,900.4,989.8,1079.2,1168.6,1258.0,1395.6,1533.2,1670.8,1808.4,1946.0,2131.8,2317.6,2503.4,2689.2,2875.0,2991.8,3108.6,3225.4,3342.2,3459.0,3580.6,3702.2,3823.8,3945.4,4067.0,Australia,14906.0
63,Papua New Guinea,1650.0,1839.8,2029.6,2219.4,2409.2,2599.0,2797.2,2995.4,3193.6,3391.8,3590.0,4004.8,4419.6,4834.4,5249.2,5664.0,5786.4,5908.8,6031.2,6153.6,6276.0,6563.4,6850.8,7138.2,7425.6,7713.0,8018.2,8323.4,8628.6,8933.8,9239.0,Australia,36731.0
64,Peru,609.0,640.6,672.2,703.8,735.4,767.0,856.6,946.2,1035.8,1125.4,1215.0,1296.2,1377.4,1458.6,1539.8,1621.0,1732.0,1843.0,1954.0,2065.0,2176.0,2288.4,2400.8,2513.2,2625.6,2738.0,2859.4,2980.8,3102.2,3223.6,3345.0,Australia,12471.0
65,Philippines,5781.0,7249.2,8717.4,10185.6,11653.8,13122.0,15912.8,18703.6,21494.4,24285.2,27076.0,28219.6,29363.2,30506.8,31650.4,32794.0,33686.0,34578.0,35470.0,36362.0,37254.0,39140.2,41026.4,42912.6,44798.8,46685.0,48718.2,50751.4,52784.6,54817.8,56851.0,Australia,219563.0
66,Poland,22249.0,22782.4,23315.8,23849.2,24382.6,24916.0,24989.2,25062.4,25135.6,25208.8,25282.0,25095.8,24909.6,24723.4,24537.2,24351.0,24015.2,23679.4,23343.6,23007.8,22672.0,23290.6,23909.2,24527.8,25146.4,25765.0,26354.4,26943.8,27533.2,28122.6,28712.0,Australia,173947.0
67,Portugal,3476.0,3651.4,3826.8,4002.2,4177.6,4353.0,4607.6,4862.2,5116.8,5371.4,5626.0,5631.0,5636.0,5641.0,5646.0,5651.0,5548.0,5445.0,5342.0,5239.0,5136.0,5109.8,5083.6,5057.4,5031.2,5005.0,4935.2,4865.4,4795.6,4725.8,4656.0,Australia,33903.0
68,Romania,1709.0,1808.8,1908.6,2008.4,2108.2,2208.0,2412.2,2616.4,2820.6,3024.8,3229.0,3341.2,3453.4,3565.6,3677.8,3790.0,3887.6,3985.2,4082.8,4180.4,4278.0,4418.4,4558.8,4699.2,4839.6,4980.0,5120.0,5260.0,5400.0,5540.0,5680.0,Australia,25874.0
69,Russia,1672.0,1658.6,1645.2,1631.8,1618.4,1605.0,2264.4,2923.8,3583.2,4242.6,4902.0,5009.4,5116.8,5224.2,5331.6,5439.0,5461.4,5483.8,5506.2,5528.6,5551.0,5782.2,6013.4,6244.6,6475.8,6707.0,6948.8,7190.6,7432.4,7674.2,7916.0,Australia,33792.0
70,Samoa,198.0,333.8,469.6,605.4000000000001,741.2,877.0,1069.4,1261.8,1454.2,1646.6,1839.0,2178.4,2517.8,2857.2,3196.6,3536.0,3634.6,3733.2,3831.8,3930.4,4029.0,4106.2,4183.4,4260.6,4337.8,4415.0,4480.0,4545.0,4610.0,4675.0,4740.0,Australia,19634.0
