,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
63,Nepal,,,,,,0.0,21.6,43.2,64.80000000000001,86.4,108.0,160.8,213.6,266.4,319.2,372.0,427.6,483.2,538.8,594.4,650.0,555.4,460.8,366.20000000000005,271.6,177.0,181.4,185.8,190.2,194.6,199.0,Australia
64,Netherlands,,,,,,2160.0,2112.8,2065.6,2018.4,1971.2,1924.0,1539.2,1154.4,769.5999999999999,384.79999999999995,0.0,139.4,278.8,418.20000000000005,557.6,697.0,1652.4,2607.8,3563.2,4518.6,5474.0,5599.2,5724.4,5849.6,5974.8,6100.0,Australia
65,New Zealand,,,,,,14996.0,16360.8,17725.6,19090.4,20455.2,21820.0,21048.0,20276.0,19504.0,18732.0,17960.0,21502.4,25044.8,28587.2,32129.6,35672.0,33345.8,31019.6,28693.4,26367.2,24041.0,24574.8,25108.6,25642.4,26176.2,26710.0,Australia
66,Nigeria,,,,,,0.0,100.2,200.4,300.6,400.8,501.0,444.2,387.4,330.6,273.8,217.0,240.8,264.6,288.4,312.2,336.0,303.6,271.2,238.8,206.4,174.0,178.4,182.8,187.2,191.6,196.0,Australia
67,Norway,,,,,,75.0,85.4,95.8,106.2,116.6,127.0,107.2,87.4,67.6,47.8,28.0,125.4,222.8,320.20000000000005,417.6,515.0,471.8,428.6,385.4,342.2,299.0,305.4,311.8,318.2,324.6,331.0,Australia
68,Occupied Palestinian Territory,,,,,,0.0,8.8,17.6,26.400000000000002,35.2,44.0,274.2,504.4,734.5999999999999,964.8,1195.0,965.2,735.4,505.5999999999999,275.79999999999995,46.0,79.2,112.4,145.60000000000002,178.8,212.0,217.0,222.0,227.0,232.0,237.0,Australia
69,Pakistan,,,,,,528.0,584.6,641.2,697.8,754.4,811.0,1010.2,1209.4,1408.6,1607.8,1807.0,1827.4,1847.8,1868.2,1888.6,1909.0,1736.6,1564.2,1391.8,1219.4,1047.0,1071.6,1096.2,1120.8,1145.4,1170.0,Australia
70,Papua New Guinea,,,,,,1664.0,1724.8,1785.6,1846.4,1907.2,1968.0,2156.0,2344.0,2532.0,2720.0,2908.0,2592.2,2276.4,1960.6,1644.8,1329.0,1473.6,1618.2,1762.8,1907.4,2052.0,2097.0,2142.0,2187.0,2232.0,2277.0,Australia
71,Peru,,,,,,245.0,347.8,450.6,553.4,656.2,759.0,762.2,765.4,768.6,771.8,775.0,800.2,825.4,850.6,875.8,901.0,868.0,835.0,802.0,769.0,736.0,751.6,767.2,782.8,798.4,814.0,Australia
72,Philippines,,,,,,8863.0,11092.4,13321.8,15551.2,17780.6,20010.0,17399.4,14788.8,12178.2,9567.6,6957.0,7064.4,7171.8,7279.2,7386.6,7494.0,8300.6,9107.2,9913.8,10720.4,11527.0,11765.8,12004.6,12243.4,12482.2,12721.0,Australia
73,Poland,,,,,,7909.0,6903.4,5897.8,4892.2,3886.6,2881.0,2304.8,1728.6,1152.3999999999999,576.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1083.8,2167.6,3251.3999999999996,4335.2,5419.0,5537.4,5655.8,5774.2,5892.6,6011.0,Australia
74,Portugal,,,,,,741.0,784.0,827.0,870.0,913.0,956.0,833.2,710.4,587.6,464.8,342.0,273.6,205.2,136.79999999999998,68.39999999999998,0.0,99.2,198.4,297.6,396.8,496.0,507.2,518.4,529.6,540.8,552.0,Australia
75,Romania,,,,,,1009.0,1101.8,1194.6,1287.4,1380.2,1473.0,1310.2,1147.4,984.5999999999999,821.8,659.0,648.6,638.2,627.8,617.4,607.0,719.2,831.4,943.6,1055.8,1168.0,1194.0,1220.0,1246.0,1272.0,1298.0,Australia
76,Russia,,,,,,0.0,685.4,1370.8,2056.2,2741.6,3427.0,3104.6,2782.2,2459.8,2137.4,1815.0,1452.0,1089.0,726.0,363.0,0.0,317.0,634.0,951.0,1268.0,1585.0,1618.6,1652.2,1685.8,1719.4,1753.0,Australia
77,Samoa,,,,,,800.0,912.4,1024.8,1137.2,1249.6,1362.0,1440.6,1519.2,1597.8,1676.4,1755.0,1404.0,1053.0,702.0,351.0,0.0,160.4,320.8,481.20000000000005,641.6,802.0,819.2,836.4,853.6,870.8,888.0,Australia
78,Serbia and Montenegro,,,,,,504.0,2644.6,4785.2,6925.799999999999,9066.4,11207.0,8965.6,6724.2,4482.799999999999,2241.3999999999996,0.0,2788.8,5577.6,8366.400000000001,11155.2,13944.0,11869.0,9794.0,7719.0,5644.0,3569.0,3649.4,3729.8,3810.2,3890.6,3971.0,Australia
79,Seychelles,,,,,,0.0,156.0,312.0,468.0,624.0,780.0,625.6,471.2,316.79999999999995,162.39999999999998,8.0,6.4,4.8,3.1999999999999993,1.5999999999999996,0.0,26.2,52.4,78.6,104.8,131.0,133.6,136.2,138.8,141.4,144.0,Australia
80,Singapore,,,,,,2107.0,2460.4,2813.8,3167.2,3520.6,3874.0,3496.8,3119.6,2742.4,2365.2,1988.0,2074.6,2161.2,2247.8,2334.4,2421.0,2515.4,2609.8,2704.2,2798.6,2893.0,2956.2,3019.4,3082.6,3145.8,3209.0,Australia
81,Slovakia,,,,,,274.0,370.2,466.4,562.6,658.8,755.0,604.0,453.0,302.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4,122.8,184.2,245.6,307.0,313.4,319.8,326.2,332.6,339.0,Australia
82,Slovenia,,,,,,260.0,263.8,267.6,271.4,275.2,279.0,366.0,453.0,540.0,627.0,714.0,571.2,428.4,285.59999999999997,142.79999999999995,0.0,65.4,130.8,196.20000000000002,261.6,327.0,334.2,341.4,348.6,355.8,363.0,Australia
83,Solomon Islands,,,,,,81.0,93.8,106.6,119.4,132.2,145.0,130.0,115.0,100.0,85.0,70.0,60.8,51.6,42.400000000000006,33.2,24.0,37.2,50.4,63.599999999999994,76.8,90.0,92.2,94.4,96.6,98.8,101.0,Australia
84,Somalia,,,,,,0.0,28.6,57.2,85.80000000000001,114.4,143.0,203.6,264.2,324.8,385.4,446.0,453.8,461.6,469.4,477.2,485.0,424.8,364.6,304.4,244.2,184.0,188.6,193.2,197.8,202.4,207.0,Australia
85,South Africa,,,,,,5160.0,5436.8,5713.6,5990.4,6267.2,6544.0,6610.8,6677.6,6744.4,6811.2,6878.0,8749.0,10620.0,12491.0,14362.0,16233.0,14718.2,13203.4,11688.6,10173.8,8659.0,8850.2,9041.4,9232.6,9423.8,9615.0,Australia
86,Spain,,,,,,778.0,712.0,646.0,580.0,514.0,448.0,413.6,379.2,344.8,310.4,276.0,282.4,288.8,295.2,301.6,308.0,398.4,488.8,579.2,669.6,760.0,777.4,794.8,812.2,829.6,847.0,Australia
87,Sri Lanka,,,,,,3582.0,4718.8,5855.6,6992.4,8129.2,9266.0,8633.0,8000.0,7367.0,6734.0,6101.0,5558.8,5016.6,4474.4,3932.2,3390.0,3865.4,4340.8,4816.2,5291.6,5767.0,5897.0,6027.0,6157.0,6287.0,6417.0,Australia
88,Sudan,,,,,,0.0,142.2,284.4,426.59999999999997,568.8,711.0,660.4,609.8,559.2,508.6,458.0,536.0,614.0,692.0,770.0,848.0,749.2,650.4,551.6,452.8,354.0,362.2,370.4,378.6,386.8,395.0,Australia
89,Sweden,,,,,,394.0,486.8,579.6,672.4,765.2,858.0,723.4,588.8,454.20000000000005,319.6,185.0,306.6,428.2,549.8,671.4,793.0,775.6,758.2,740.8,723.4,706.0,721.2,736.4,751.6,766.8,782.0,Australia
90,Switzerland,,,,,,504.0,555.8,607.6,659.4,711.2,763.0,665.4,567.8,470.20000000000005,372.6,275.0,545.4,815.8,1086.1999999999998,1356.6,1627.0,1496.2,1365.4,1234.6,1103.8,973.0,994.8,1016.6,1038.4,1060.2,1082.0,Australia
91,Syria,,,,,,328.0,417.2,506.4,595.6,684.8,774.0,701.8,629.6,557.4,485.2,413.0,359.0,305.0,251.0,197.0,143.0,200.6,258.2,315.8,373.4,431.0,440.6,450.2,459.8,469.4,479.0,Australia
92,Taiwan,,,,,,561.0,1265.8,1970.6,2675.3999999999996,3380.2,4085.0,3584.0,3083.0,2582.0,2081.0,1580.0,1815.2,2050.4,2285.6,2520.8,2756.0,2597.4,2438.8,2280.2,2121.6,1963.0,2004.4,2045.8,2087.2,2128.6,2170.0,Australia
93,Tanzania,,,,,,272.0,257.0,242.0,227.0,212.0,197.0,203.0,209.0,215.0,221.0,227.0,209.2,191.4,173.6,155.8,138.0,153.2,168.4,183.6,198.8,214.0,218.6,223.2,227.8,232.4,237.0,Australia
94,Thailand,,,,,,773.0,1069.0,1365.0,1661.0,1957.0,2253.0,2084.4,1915.8,1747.2,1578.6,1410.0,1588.8,1767.6,1946.4,2125.2,2304.0,2187.8,2071.6,1955.4,1839.2,1723.0,1758.8,1794.6,1830.4,1866.2,1902.0,Australia
