,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
70,Papua New Guinea,2538.0,2870.8,3203.6,3536.4,3869.2,4202.0,4595.6,4989.2,5382.8,5776.4,6170.0,6751.6,7333.2,7914.8,8496.4,9078.0,9343.8,9609.6,9875.4,10141.2,10407.0,10817.4,11227.8,11638.2,12048.6,12459.0,12914.4,13369.8,13825.2,14280.6,14736.0,Australia,59590.0
71,Peru,888.0,937.0,986.0,1035.0,1084.0,1133.0,1284.8,1436.6,1588.4,1740.2,1892.0,2047.0,2202.0,2357.0,2512.0,2667.0,2847.2,3027.4,3207.6,3387.8,3568.0,3715.2,3862.4,4009.6,4156.8,4304.0,4466.8,4629.6,4792.4,4955.2,5118.0,Australia,19570.0
72,Philippines,8163.0,9935.6,11708.2,13480.8,15253.4,17026.0,21028.0,25030.0,29032.0,33034.0,37036.0,38427.4,39818.8,41210.2,42601.6,43993.0,45491.8,46990.6,48489.4,49988.2,51487.0,53792.4,56097.8,58403.2,60708.6,63014.0,65558.2,68102.4,70646.6,73190.8,75735.0,Australia,296454.0
73,Poland,18978.0,20559.8,22141.6,23723.4,25305.2,26887.0,27463.2,28039.4,28615.6,29191.8,29768.0,29501.8,29235.6,28969.4,28703.2,28437.0,28197.8,27958.6,27719.4,27480.2,27241.0,28324.8,29408.6,30492.4,31576.2,32660.0,33862.2,35064.4,36266.6,37468.8,38671.0,Australia,202642.0
74,Portugal,790.0,938.2,1086.4,1234.6,1382.8,1531.0,1722.2,1913.4,2104.6,2295.8,2487.0,2555.4,2623.8,2692.2,2760.6,2829.0,2791.6,2754.2,2716.8,2679.4,2642.0,2741.2,2840.4,2939.6,3038.8,3138.0,3248.4,3358.8,3469.2,3579.6,3690.0,Australia,17107.0
75,Romania,2300.0,2501.8,2703.6,2905.4,3107.2,3309.0,3603.6,3898.2,4192.8,4487.4,4782.0,4913.8,5045.6,5177.4,5309.2,5441.0,5562.4,5683.8,5805.2,5926.6,6048.0,6281.6,6515.2,6748.8,6982.4,7216.0,7475.6,7735.2,7994.8,8254.4,8514.0,Australia,37610.0
76,Russia,2331.0,2312.8,2294.6,2276.4,2258.2,2240.0,2925.4,3610.8,4296.2,4981.6,5667.0,6030.0,6393.0,6756.0,7119.0,7482.0,7477.2,7472.4,7467.6,7462.8,7458.0,7775.0,8092.0,8409.0,8726.0,9043.0,9393.6,9744.2,10094.8,10445.4,10796.0,Australia,45017.0
77,Samoa,282.0,442.0,602.0,762.0,922.0,1082.0,1354.4,1626.8,1899.1999999999998,2171.6,2444.0,2795.0,3146.0,3497.0,3848.0,4199.0,4154.0,4109.0,4064.0,4019.0,3974.0,4134.4,4294.8,4455.2,4615.6,4776.0,4953.6,5131.2,5308.8,5486.4,5664.0,Australia,22421.0
78,Serbia and Montenegro,2745.0,2845.8,2946.6,3047.4,3148.2,3249.0,5490.4,7731.8,9973.2,12214.6,14456.0,12597.8,10739.6,8881.4,7023.2,5165.0,7953.8,10742.6,13531.400000000001,16320.2,19109.0,19822.8,20536.6,21250.4,21964.2,22678.0,23472.2,24266.4,25060.6,25854.8,26649.0,Australia,94051.0
79,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,156.0,312.0,468.0,624.0,780.0,781.6,783.2,784.8,786.4,788.0,757.0,726.0,695.0,664.0,633.0,659.2,685.4,711.6,737.8,764.0,792.8,821.6,850.4,879.2,908.0,Australia,3873.0
80,Singapore,4174.0,4595.4,5016.8,5438.2,5859.6,6281.0,7055.8,7830.6,8605.4,9380.2,10155.0,10552.6,10950.2,11347.8,11745.4,12143.0,12627.2,13111.4,13595.6,14079.8,14564.0,15142.6,15721.2,16299.8,16878.4,17457.0,18098.8,18740.6,19382.4,20024.2,20666.0,Australia,85440.0
