"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,5629.56,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,6070.4,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","120","Regional government expenditures","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,6218.84,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,2339.869,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,2405.035,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,2495.912,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,2626.04,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,2608.782,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,2718.044,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,1295.63,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,1493.54,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,1501.74,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,1555.62,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,1606.72,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,1818.79,,
