,country,co2,expRD,expEd,expHealth,gdp,year
322,Russian Federation,3425062.341,0.9659200000000001,2.97662783,5.01481104,554713455149.5016,1
323,Rwanda,601.388,0.66627,0.77055204,4.26349449,1407062607.6321445,1
327,Saudi Arabia,175491.61899999998,0.062329999999999997,3.03455424,4.2115941,184291888767.19144,1
328,Senegal,3296.633,0.2909,1.26322365,3.56931567,4021697233.394031,1
329,Serbia,61066.551,0.7540399999999999,4.25570917,6.50382948,16832598870.056498,1
330,Seychelles,99.009,0.42525,3.78593802,4.61071825,154902869.02139026,1
332,Singapore,26849.773999999998,1.3199100000000001,1.21474111,3.34336376,14175228843.639082,1
333,Slovak Republic,44183.683,0.89292,4.68998718,5.30256939,12747380650.07618,1
334,Slovenia,12478.801000000001,1.26633,5.57140017,7.80406952,18198199152.542374,1
336,South Africa,257368.395,0.58354,2.73613644,7.43741989,85454420504.10138,1
337,Spain,207288.176,0.7894899999999999,4.91906023,6.79921818,202807891511.98416,1
338,Sri Lanka,4033.7,0.18356,2.27740288,4.24654055,4415844155.844156,1
340,St. Lucia,95.34200000000001,0.64171,1.8697567,5.43346453,194444444.4444444,1
341,St. Vincent and the Grenadines,36.67,0.04306,3.0020051,4.29551268,102086539.25925924,1
342,Sudan,3641.3309999999997,0.5300699999999999,1.21998167,3.60664463,10016500000.0,1
344,Eswatini,436.37300000000005,0.27013000000000004,2.41081047,4.60951757,571542674.5778184,1
345,Sweden,69430.978,3.31489,6.18943739,7.32689953,129686938223.3282,1
346,Switzerland,38859.199,2.44857,2.67802835,9.3748436,108993981264.637,1
347,Tajikistan,7315.665,0.08953,0.88544554,4.26492453,2629395066.2701716,1
348,Tanzania,2123.1929999999998,0.33462,0.74586427,3.41529965,5100405772.463267,1
349,Thailand,38048.792,0.11918,1.71152949,3.10125184,34846107862.367325,1
351,Togo,627.057,0.23476999999999998,0.39248648,3.30968809,962347000.991788,1
353,Trinidad and Tobago,17260.569,0.10325,1.56699646,4.23492432,6992083333.333334,1
354,Tunisia,9834.894,0.54302,2.65892363,5.04834366,8428513568.246253,1
355,Turkey,79874.594,0.45158999999999994,2.83683062,4.59957218,71040020140.44362,1
358,Uganda,528.048,0.36756,1.87020469,7.56050587,1337300000.0,1
359,Ukraine,630929.3520000001,1.1923,2.51132536,5.30685234,64087694038.23332,1
360,United Arab Emirates,36857.017,0.48622,1.63412821,2.37413526,49333424135.11305,1
361,United Kingdom,560819.9789999999,1.58684,5.59644794,7.28434992,540765675241.1576,1
362,United States,4535800.308,2.45001,5.54235458,12.54207516,3207042000000.0,1
363,Uruguay,5375.821999999999,0.26500999999999997,4.15722036,10.00623417,11048335541.493334,1
364,Uzbekistan,111649.149,0.36063,2.05310607,5.21655655,13360607917.877316,1
366,"Venezuela, RB",91968.36,0.18907000000000002,3.36394501,7.33427238,66327441860.465126,1
367,Vietnam,17726.278000000002,0.19272999999999998,1.69229567,4.84926939,14094687820.744488,1
369,Zambia,3366.3059999999996,0.011040000000000001,3.18158054,7.15237093,3872666666.666667,1
371,Albania,7308.331,0.08757000000000001,2.76625538,7.2333703,1857338011.8548825,2
372,Algeria,39269.903,0.23028,2.51082778,3.48903275,45207088715.64827,2
374,Angola,4649.755999999999,0.03229,1.11098742,1.90859938,5550483035.90815,2
376,Argentina,103424.06800000001,0.41748999999999997,4.63411379,8.46696377,84307486836.72401,2
377,Armenia,5826.863,0.18692,0.95468217,4.19581175,2256838858.427141,2
378,Australia,234119.615,1.6665,5.46949816,7.61383343,193770274743.46246,2
379,Austria,53868.23,1.58077,6.82578659,9.20371437,71275287569.57329,2
380,Azerbaijan,56240.779,0.23533,0.86689276,2.94894385,8858006035.915659,2
382,Bahrain,9838.561,0.10116,2.35164309,3.56132603,3645744680.851064,2
385,Belarus,87417.61300000001,0.9985200000000001,4.30438089,5.46676111,21650000000.0,2
386,Belgium,117553.019,1.72963,5.96185923,7.9991765,92095926187.53313,2
390,Bolivia,4349.062,0.32544,2.43201637,4.39554119,5587490264.812702,2
391,Bosnia and Herzegovina,15053.035,0.01854,4.08672619,7.65342188,1255802469.1358025,2
392,Botswana,1100.1,0.53286,3.19477272,5.82725811,1014907254.5401572,2
393,Brazil,172176.651,1.04751,3.47024679,8.33481598,281682304161.0405,2
394,Brunei Darussalam,2093.857,0.01592,2.14061809,2.5432477,4264252336.4485974,2
395,Bulgaria,90131.19300000001,0.42201000000000005,3.4715004,5.82971001,19342000000.0,2
396,Burkina Faso,575.719,0.15834,1.08095813,3.31752229,1754450379.2076962,2
397,Burundi,157.681,0.20068,1.46507251,6.17697144,1013222222.2222222,2
398,Cabo Verde,36.67,0.07264,3.16139579,4.43401194,140630758.59489855,2
