,country,co2,expRD,expEd,expHealth,gdp,year
234,Belgium,101630.905,1.72963,5.96185923,5.200620055198669,87184239053.25444,1983
235,Benin,454.708,,0.80706608,2.74788999557495,1095348302.9186547,1983
236,Brazil,166632.147,1.04751,3.47024679,4.56816005706787,203304515490.79538,1983
237,Bulgaria,90365.881,0.42201,3.4715004,3.806854009628297,16563666666.666668,1983
238,Burundi,205.352,0.20068,1.46507251,3.3495533466339134,1082926304.464766,1983
239,Cameroon,6589.599,,0.67430598,3.4968900680542,7381854746.9162855,1983
240,Canada,408687.15,1.61209,6.02896738,6.88043022155762,340547711781.88904,1983
241,Chile,20839.561,0.30957,2.51822186,4.21729667981466,20355959237.21284,1983
242,Colombia,49449.495,0.29923,4.20017815,2.86860672632853,38729822781.599724,1983
243,Costa Rica,2104.858,0.30377,4.28046608,4.95777988433838,3146770103.81027,1983
244,Cote d'Ivoire,4840.44,0.0956,0.8112601,6.840104818344118,6838185418.536422,1983
245,Cyprus,3098.615,0.20331,2.18027353,3.6668450832366952,2160364071.1902113,1983
246,Czech Republic,138176.227,0.89446,5.07170343,3.77507996559143,..,1983
247,Denmark,50175.561,1.80667,6.73533964,5.874590158462524,60644782176.05249,1983
248,Estonia,23879.504,0.57074,3.92247367,5.70691013336182,..,1983
249,Ethiopia,1844.501,0.17917,1.79956126,2.30205988883972,8567890821.25604,1983
250,Finland,41576.446,2.45311,5.37109375,4.85560989379883,50973526900.085396,1983
251,"Gambia, The",161.348,0.02039,0.58467138,4.29514980316162,213446562.57106042,1983
252,Ghana,3655.999,0.23157,0.77592826,2.26702496409416,4057275042.829034,1983
253,Guinea,953.42,,0.30125162,2.01639008522034,..,1983
254,Guyana,1246.78,,2.38048863,8.2534704208374,489333333.3333333,1983
255,"Hong Kong SAR, China",21015.577,0.4283,,2.57859992980957,29907091339.53642,1983
256,Hungary,89137.436,0.63025,4.66643333,5.87939977645874,..,1983
257,Iceland,1547.474,1.7954,7.21218348,4.25224018096924,2770107918.5921073,1983
258,"Iran, Islamic Rep.",149785.949,0.50218,1.7855711,4.18053007125854,156365156618.80588,1983
259,Ireland,25709.337,1.27006,4.57751989,5.44003009796143,20790917098.952724,1983
260,Israel,23938.176,2.59385,4.29216099,7.01159000396729,31200693950.177937,1983
261,Italy,361364.515,0.94843,5.49627781,4.48805999755859,443042373788.88324,1983
262,Jamaica,6450.253,0.0491,3.18738079,5.39190006256104,3619294120.69144,1983
263,Japan,883838.675,2.69206,5.75151682,4.82426977157593,1243323592058.8333,1983
264,Kenya,4660.757,0.35521,1.32658839,5.43830013275146,5979198463.830247,1983
265,Kyrgyz Republic,11133.012,0.1939,2.13439822,5.58819007873535,..,1983
266,Latvia,14143.619,0.39723,2.76619649,5.27811002731323,..,1983
267,Lesotho,1474.134,0.04185,2.94303799,10.0969400405884,386699308.8591688,1983
268,Lithuania,22148.68,0.49155,4.16442347,4.76492023468018,..,1983
269,"Macao SAR, China",682.062,0.06268,,3.37756991386414,1121486562.52512,1983
270,Madagascar,652.726,0.22032,2.1105423,1.98900997638702,4686457013.057696,1983
271,Malaysia,37971.785,0.21645,1.17325473,6.34953999519348,30346788437.513462,1983
272,Mali,418.038,0.21855,1.28954971,3.067980051040648,1297765448.5049834,1983
273,Malta,997.424,0.2385,4.73784733,3.31469011306763,1165771369.0062542,1983
274,Mauritius,597.721,0.27899,1.55006421,4.45373010635376,1090276947.2587175,1983
275,Mexico,278442.644,0.25067,2.01177883,2.28201007843018,156159198584.5129,1983
276,Nepal,495.045,0.05439,0.55427396,2.89287996292114,2447174803.377913,1983
277,Netherlands,138256.901,1.84093,5.320714,5.50079011917114,153445465987.18246,1983
278,New Zealand,17964.633,1.05649,5.56446981,4.28919005393982,24309279705.57308,1983
279,Niger,964.421,,1.53187096,2.06030011177063,1803099731.5425675,1983
280,Norway,37498.742,1.59352,6.29948092,5.64629983901978,61627240831.09479,1983
281,Oman,7532.018,0.13645,2.50450325,3.79282999038696,7932541690.793283,1983
282,Pakistan,40303.997,0.15565,1.01343811,1.99576997756958,28691889763.77953,1983
283,Panama,3494.651,0.3101,4.6724925,3.55090999603271,5923755900,1983
284,Peru,20450.859,0.0836,2.31222916,3.11879992485046,17345624453.691635,1983
285,Poland,422339.391,0.64036,3.61403513,3.89144992828369,..,1983
286,Portugal,30179.41,0.5495,5.90206194,3.23281002044678,27239650741.94716,1983
287,Saudi Arabia,161050.973,0.06233,3.03455424,5.97797012329102,129171602025.14703,1983
288,Senegal,2632.906,0.2909,1.26322365,2.52794003486633,3512053232.035658,1983
289,Slovak Republic,44183.683,0.89292,4.68998718,5.35694980621338,..,1983
290,Slovenia,12478.801,1.26633,5.57140017,4.43858003616333,..,1983
291,South Africa,292230.564,0.58354,2.73613644,5.16433000564575,87415851379.45782,1983
292,Spain,204867.956,0.78949,4.91906023,3.12818002700806,170951185614.84918,1983
293,Sri Lanka,4884.444,0.18356,2.27740288,2.39060997962952,5167913302.167445,1983
294,St. Lucia,102.676,0.64171,1.8697567,5.192762613296512,197037037.03703701,1983
295,Eswatini,271.358,0.27013,2.41081047,6.563352108001706,555336145.7678844,1983
296,Sweden,58297.966,3.31489,6.18943739,6.432531091901992,105014356666.7971,1983
297,Switzerland,40069.309,2.44857,2.67802835,4.49742984771729,111314328521.74742,1983
298,Thailand,42452.859,0.11918,1.71152949,3.46387004852295,40042826244.23372,1983
299,Togo,546.383,0.23477,0.39248648,5.556413332621253,765746590.6168486,1983
300,Tunisia,11305.361,0.54302,2.65892363,5.4576301574707,8350176782.557455,1983
301,United Kingdom,545741.275,1.58684,5.59644794,5.06150007247925,489618008185.53894,1983
302,Uruguay,3817.347,0.26501,4.15722036,2.3199199438095124,5102281255.999861,1983
303,Zambia,3270.964,0.01104,3.18158054,5.38802003860474,3216307692.307692,1983
304,Argentina,106522.683,0.41749,4.63411379,2.56972002983093,79092001998.03204,1984
305,Armenia,5826.863,0.18692,0.95468217,1.84843003749847,..,1984
306,Australia,236594.84,1.6665,5.46949816,5.38872003555298,193242166274.22568,1984
307,Austria,54550.292,1.58077,6.82578659,5.29446983337402,67985344886.871605,1984
308,Azerbaijan,56240.779,0.23533,0.86689276,6.05797004699707,..,1984
309,Bangladesh,9123.496,,0.57436872,1.22302997112274,18920840000,1984
310,Belgium,105422.583,1.72963,5.96185923,5.08451008796692,83349530159.17342,1984
311,Benin,502.379,,0.80706608,2.74788999557495,1051133927.0000894,1984
312,Brazil,168806.678,1.04751,3.47024679,4.56816005706787,209023912696.8388,1984
313,Bulgaria,87366.275,0.42201,3.4715004,3.899312019348146,17594944444.444447,1984
314,Burundi,220.02,0.20068,1.46507251,3.35095000267029,987143931.166987,1984
315,Cameroon,6057.884,,0.67430598,3.24637007713318,7801858825.184155,1984
316,Canada,425595.687,1.61209,6.02896738,6.64404010772705,355372558103.62134,1984
317,Chile,22200.018,0.30957,2.51822186,3.868795037269595,19622527479.691307,1984
318,Colombia,48980.119,0.29923,4.20017815,3.00429010391235,38253120737.96712,1984
319,Costa Rica,2002.182,0.30377,4.28046608,4.77860991160075,3660476458.8717957,1984
320,Cote d'Ivoire,5405.158,0.0956,0.8112601,6.8335531552632665,6841638714.5454,1984
321,Cyprus,3182.956,0.20331,2.18027353,3.60191011428833,2278248953.1405787,1984
322,Czech Republic,138176.227,0.89446,5.07170343,3.77507996559143,..,1984
323,Denmark,50861.29,1.80667,6.73533964,5.862476825714113,59105236853.79372,1984
324,Estonia,23879.504,0.57074,3.92247367,5.70691013336182,..,1984
325,Ethiopia,1664.818,0.17917,1.79956126,2.11203002929688,8096302367.149759,1984
326,Finland,42254.841,2.45311,5.37109375,4.69891977310181,52888800949.74278,1984
327,"Gambia, The",172.349,0.02039,0.58467138,4.29514980316162,177338801.9307497,1984
328,Ghana,2581.568,0.23157,0.77592826,2.62950998544693,4412279843.444227,1984
329,Guinea,979.089,,0.30125162,2.01639008522034,..,1984
330,Guyana,1404.461,,2.38048863,7.22747993469238,437631605.2631579,1984
331,"Hong Kong SAR, China",22346.698,0.4283,,2.58169007301331,33511383985.674088,1984
332,Hungary,90853.592,0.63025,4.66643333,5.87939977645874,..,1984
333,Iceland,1815.165,1.7954,7.21218348,4.25224018096924,2868747038.0548816,1984
334,"Iran, Islamic Rep.",150658.695,0.50218,1.7855711,3.80160999298096,162276728618.74387,1984
335,Ireland,25529.654,1.27006,4.57751989,5.27538013458252,20130728188.4924,1984
336,Israel,23743.825,2.59385,4.29216099,6.99994993209839,29262189631.65075,1984
